ID	longitude	latitude	termDepth	Vs30	standDev
2610	-43.5108824	172.712138	20.0	208.3132318003144	0.1658128687274423
2611	-43.5117528	172.71201	20.01	182.60541604637197	0.15895202748998613
2612	-43.5125311	172.711829	20.0	202.52468968162484	0.17785941801444907
2614	-43.5117925	172.711845	20.0	196.85872702596998	0.14215909571524224
2615	-43.5129875	172.711283	20.0	192.30398321127984	0.15096465919649055
2616	-43.512889	172.711684	20.0	182.59675309378395	0.17938922746444014
2620	-43.5187888	172.711853	20.02	203.6674674652961	0.15365902704851128
2621	-43.5197238	172.710274	20.0	201.5211859021577	0.13867599076512652
2622	-43.519425	172.710595	20.01	199.62798543342862	0.18457280510668458
2627	-43.5221235	172.709996	20.02	205.28010769526963	0.17416586725592617
2693	-43.5152493	172.71042	20.0	193.77430353009152	0.14675351817589394
2694	-43.5170697	172.710322	20.0	189.52677902506824	0.14432265958540863
2695	-43.5169997	172.710114	20.0	187.682318939796	0.14038020802805476
2699	-43.5118331	172.715472	20.0	193.1613465060246	0.1702668692996967
2770	-43.5192593	172.711394	20.0	185.89254576272904	0.16336039682876893
2887	-43.508484	172.710249	20.0	210.63194686602404	0.14775307507979693
2903	-43.5153266	172.710794	20.06	190.4775421954456	0.15561488091678552
2904	-43.5152297	172.711105	20.04	184.26787662495317	0.15653086410946931
2906	-43.5156652	172.710275	17.14	198.07194143728083	0.22538410508149456
2923	-43.5115008	172.712089	20.01	183.70866980279675	0.17485071547313286
3658	-43.5202398	172.711364	20.0	207.02902215760238	0.14769345969549638
3799	-43.5127916	172.711483	20.0	192.0573804210063	0.16425928824556787
3823	-43.5068443	172.710441	20.02	213.60761244029763	0.1343479747563593
3824	-43.5064951	172.709718	20.02	200.74320951830762	0.16066760500259922
3837	-43.513498	172.710432	20.0	188.15338961870765	0.14982524550859563
3839	-43.5114897	172.712093	20.0	194.31104323770816	0.16448131871611416
3845	-43.5116296	172.712081	20.0	176.47522008746944	0.13858433889902563
3848	-43.5127568	172.711266	20.04	196.58357756798594	0.13918211975499414
